update,condition,minimal_avg-fitness,minimal_avg-offspring-cost,minimal_avg-energy-acq-rate,minimal_pop-size,selective_avg-fitness,selective_avg-offspring-cost,selective_avg-energy-acq-rate,selective_pop-size,rich_avg-fitness,rich_avg-offspring-cost,rich_avg-energy-acq-rate,rich_pop-size
206,competion,0.350851795,136.9647727,47.06931818,900,0.318912965,180.7596811,54.45102506,900,0.347028168,139.4503464,47.04503464,900
207,competion,0.351820187,136.2593857,47.06825939,900,0.31942287,179.7659091,54.20454545,900,0.346970397,139.4816092,47.04827586,900
208,competion,0.352640299,135.6390465,47.06129398,900,0.319504822,179.7204545,54.19659091,900,0.347730106,138.9574223,47.04948216,899
209,competion,0.35233727,135.8451977,47.06101695,900,0.320995297,179.6977273,54.60113636,900,0.347470428,139.0841014,47.04147465,898
210,competion,0.352237065,135.8655367,47.04858757,900,0.320681494,179.1117446,54.29646522,900,0.347290188,139.1456422,47.03440367,898
211,competion,0.35205943,135.9386364,47.03977273,900,0.321599426,178.1047836,54.16059226,900,0.346673748,139.6613272,47.04691076,900
212,competion,0.351891562,136.109215,47.04891923,900,0.320915239,178.8022857,54.24914286,900,0.347319646,139.233677,47.04696449,900
213,competion,0.352034603,136.0159635,47.03876853,900,0.321106253,178.4698521,54.16154721,900,0.347834735,138.652968,47.03310502,900
214,competion,0.352030061,136.043379,47.04794521,900,0.319687042,178.5714286,53.81632653,899,0.348475715,138.2146119,47.02739726,900
215,competion,0.352053999,135.986317,47.04446978,900,0.320371603,178.5079365,53.97619048,900,0.348946229,137.9632184,47.03563218,900
216,competion,0.35184088,136.0251429,47.03085714,899,0.320871666,177.7502838,53.85471056,900,0.348020437,138.5965517,47.00689655,900
217,competion,0.351943369,135.9430524,47.02050114,900,0.322044141,177.3333333,53.97497156,899,0.348565127,138.2020666,46.99885189,899
218,competion,0.351628309,136.3678815,47.01822323,900,0.322435618,176.5153584,53.79863481,900,0.348168917,138.816092,47.00344828,899
219,competion,0.352240494,135.9396355,47.0284738,900,0.322142655,177.1615472,53.9738339,900,0.347524031,139.2566474,46.99653179,900
220,competion,0.352848118,135.4755959,47.01589103,900,0.323278744,176.7474403,54.1331058,900,0.348253968,138.5434531,47,900
221,competion,0.354499801,134.2889647,47.01137656,899,0.322993515,176.4416476,53.94508009,900,0.348517458,138.3579677,47,900
222,competion,0.354649108,134.0990888,47.00683371,900,0.322266459,176.6043578,53.80733945,900,0.348935958,137.9654378,46.98963134,900
223,competion,0.354717943,134.0364465,47.01138952,900,0.323622028,176.0576037,53.95391705,900,0.349049412,137.9702176,46.99885452,900
224,competion,0.355043627,133.8428246,47.01025057,900,0.321976077,176.1183908,53.54942529,899,0.348486741,138.3642612,46.99770905,900
225,competion,0.355269772,133.7240593,47.00684151,900,0.321812376,175.6052934,53.33141542,900,0.348457482,138.293578,46.98509174,900
226,competion,0.355298092,133.7508532,47.00227531,900,0.323258846,174.9448909,53.47646383,900,0.349617839,137.5280641,47.0137457,900
227,competion,0.35550569,133.5954545,47,900,0.32244645,174.7193995,53.18475751,900,0.349936553,137.1731651,47.00802752,900
228,competion,0.354540299,134.1872872,47.00227015,900,0.323814385,175.0092486,53.63930636,900,0.349587364,137.3249139,47.00229621,900
229,competion,0.354212363,134.2894438,46.99205448,900,0.322882157,174.4423963,53.17165899,900,0.35065561,136.4575688,46.99426606,900
230,competion,0.354459134,134.1420455,46.99886364,900,0.323458186,173.9896194,53.15916955,900,0.351357272,135.9101382,46.98271889,900
231,competion,0.355416518,133.5375,47.00113636,900,0.324264557,173.4678161,53.1862069,900,0.351588028,135.8013857,46.98845266,900
232,competion,0.35584286,133.1227273,47.00113636,900,0.32506192,173.6948571,53.49142857,900,0.351267408,135.9771167,46.97482838,900
233,competion,0.356450995,132.5724059,47.01026226,900,0.325334558,173.506865,53.50686499,900,0.351190414,136.0034325,46.97254005,900
234,competion,0.356912907,132.3234624,47.00455581,900,0.326085108,172.8774341,53.49713631,900,0.352319572,135.2811429,46.99085714,900
