update,condition,minimal_avg.fitness,minimal_avg.offspring.cost,minimal_avg.energy.acq.rate,minimal_pop.size,selective_avg.fitness,selective_avg.offspring.cost,selective_avg.energy.acq.rate,selective_pop.size,rich_avg.fitness,rich_avg.offspring.cost,rich_avg.energy.acq.rate,rich_pop.size
259,wildtype-only,0.357416478,132.9494834,47.02525832,899,0.247879709,188.9454545,46.73409091,900,0.35849254,131.1831797,46.98387097,900
260,wildtype-only,0.357463339,132.761194,47.00918485,899,0.247827965,188.9387755,46.72335601,900,0.358455523,131.2060185,46.98726852,900
261,wildtype-only,0.357284669,132.8929804,47.01956272,900,0.248013511,188.9513575,46.760181,900,0.358486042,131.1898734,46.98619102,900
262,wildtype-only,0.356891091,133.3237327,47.03110599,900,0.248012748,189.0295119,46.77525539,900,0.358385322,131.2232451,46.98504028,900
263,wildtype-only,0.357509811,132.7035755,47.03229527,900,0.247805393,189.3295583,46.78935447,900,0.358498397,131.1595867,46.9804822,900
264,wildtype-only,0.357605518,132.6092486,47.02427746,900,0.247582568,189.4881356,46.77627119,900,0.35824296,131.2850575,46.9816092,900
265,wildtype-only,0.357722256,132.3240741,47.01041667,900,0.247683009,189.368899,46.77412032,900,0.358165945,131.3398393,46.98392652,900
266,wildtype-only,0.357827343,132.2747126,47.01149425,900,0.247386655,189.6359499,46.76222981,900,0.357983218,131.440367,46.98394495,900
267,wildtype-only,0.357948242,132.0263459,47.01145475,900,0.247368132,189.5947787,46.74914869,900,0.357857254,131.5584862,46.97133028,900
268,wildtype-only,0.358087626,131.7789233,46.99427262,900,0.247088754,190.009122,46.76168757,900,0.358059667,131.3581236,46.97368421,900
269,wildtype-only,0.358089957,131.7299771,46.98169336,900,0.247092432,189.9852105,46.76450512,900,0.357874291,131.5740528,46.97818599,900
270,wildtype-only,0.358116078,131.7382857,46.98857143,900,0.247458853,189.6214367,46.78221209,900,0.357643671,131.7739726,46.9760274,900
271,wildtype-only,0.358501633,131.448,46.98628571,900,0.24727061,189.7363014,46.76027397,900,0.357710016,131.6441648,46.97482838,900
272,wildtype-only,0.35827278,131.5240275,46.97482838,900,0.247281078,189.8022857,46.77142857,900,0.357517023,131.6674286,46.95428571,900
273,wildtype-only,0.357897006,131.7056128,46.97479954,900,0.247318954,189.8034286,46.77828571,900,0.35715881,131.9678899,46.96215596,900
274,wildtype-only,0.357742426,131.7405281,46.96326062,900,0.247437911,189.8494253,46.80344828,900,0.356855558,132.1420389,46.96678121,900
275,wildtype-only,0.358052449,131.5947187,46.96440873,900,0.24741431,189.8210162,46.7886836,900,0.35682953,132.2025172,46.9771167,900
276,wildtype-only,0.358255583,131.4655963,46.95756881,900,0.247325406,189.9341801,46.79099307,900,0.356602778,132.2937143,46.97257143,900
277,wildtype-only,0.358050467,131.5645161,46.94930876,900,0.247131948,190.2156863,46.80392157,900,0.356867247,132.1851429,46.97714286,900
278,wildtype-only,0.358180546,131.4753157,46.95292767,900,0.247025502,190.2154378,46.77880184,900,0.357189607,131.8937143,46.97371429,900
279,wildtype-only,0.358279016,131.4266055,46.95412844,900,0.247174277,190.0449309,46.77995392,900,0.356952607,131.9942987,46.96693273,900
280,wildtype-only,0.358543509,131.4270953,46.96211251,900,0.247406088,189.8319908,46.78481013,900,0.357277502,131.8280182,46.96469248,900
281,wildtype-only,0.358769103,131.1825488,46.95292767,900,0.247634121,189.5561927,46.7809633,900,0.357256203,132,46.97729852,900
282,wildtype-only,0.359079171,131.0538991,46.95756881,900,0.247560734,189.4048165,46.73853211,900,0.357554059,131.7482993,46.9739229,900
283,wildtype-only,0.359081876,131.0688863,46.96211251,900,0.247383725,189.7889908,46.76949541,900,0.357643616,131.7251131,46.97850679,900
284,wildtype-only,0.358977002,131.1626298,46.97808535,900,0.24747172,189.6324201,46.75913242,900,0.357732465,131.5664018,46.97275823,900
285,wildtype-only,0.358991988,131.1181193,46.96100917,900,0.247328163,189.8365714,46.76571429,900,0.358058124,131.3959044,46.97042093,900
286,wildtype-only,0.358860607,131.1988506,46.96436782,900,0.247351618,189.8510882,46.7720504,900,0.357735444,131.5779817,46.97247706,900
287,wildtype-only,0.358653671,131.3076923,46.96785304,900,0.247462171,189.7743414,46.78235968,900,0.357298228,131.8876147,46.97018349,900
288,wildtype-only,0.359046854,131.1343284,46.97474168,900,0.247587738,189.6441648,46.78146453,899,0.357390559,131.8669725,46.97477064,900
289,wildtype-only,0.359741762,130.7105263,46.97139588,900,0.247536576,189.4562002,46.73720137,900,0.357583061,131.7634902,46.9793341,900
290,wildtype-only,0.359657459,130.7308133,46.96334479,900,0.247435288,189.5187713,46.73151308,900,0.357384941,132.0126147,46.9896789,900
291,wildtype-only,0.359833588,130.6609393,46.96792669,900,0.247451345,189.4971623,46.73098751,900,0.357317357,132.0563218,46.99310345,900
292,wildtype-only,0.359490692,130.9006849,46.97945205,900,0.247107962,189.9784336,46.74574347,900,0.357327234,132.0470183,46.98738532,900
293,wildtype-only,0.359423983,130.9208716,46.97477064,900,0.247203195,189.8875,46.75,900,0.357382461,131.9919448,46.98273878,900
294,wildtype-only,0.359087926,131.1394009,46.98156682,900,0.247385137,189.63626,46.74116306,900,0.357628636,131.880597,46.98507463,900
295,wildtype-only,0.359151825,131.0700344,46.97014925,900,0.247059747,189.7977273,46.70454545,900,0.35791707,131.7177143,46.98628571,900
296,wildtype-only,0.35928075,131.0679724,46.98732719,900,0.246976003,190.041049,46.72976055,900,0.358156929,131.6137143,46.98971429,900
297,wildtype-only,0.359480562,131.016092,46.99655172,900,0.247011936,189.9521095,46.72177879,900,0.357772993,131.8859749,46.98859749,900
298,wildtype-only,0.35967072,130.948037,47.00808314,900,0.246886827,190.0603645,46.71640091,900,0.358041476,131.656,46.98971429,900
299,wildtype-only,0.359724027,130.9850058,47.01960784,900,0.247223804,189.7514253,46.72976055,899,0.358005803,131.6750572,46.98970252,900
300,wildtype-only,0.359536558,131.2127168,47.02890173,900,0.247235712,189.712,46.72457143,900,0.358449522,131.3664384,46.99200913,900
