Rider,Team,Times,Gap,Year,Distance (km),Number of stages,TotalSeconds,GapSeconds
PIERRE LE BIGAULT,COOP-MERCIER-MAVIC,106h 22' 14'',+ 01h 14' 22'',1983,3809,23,382934,4462
ALAIN VIGNERON,RENAULT-ELF-GITANE,106h 26' 05'',+ 01h 18' 13'',1983,3809,23,383165,4693
BERNARD GAVILLET,CILO-AUFINA,106h 28' 58'',+ 01h 21' 06'',1983,3809,23,383338,4866
DIDIER VANOVERSCHEDE,LA REDOUTE-MOTOBECANE,106h 32' 11'',+ 01h 24' 19'',1983,3809,23,383531,5059
PATRICK CLERC,SEM-MAVIC-REYDEL,106h 33' 32'',+ 01h 25' 40'',1983,3809,23,383612,5140
ADRI VAN DER POEL,AERNOUDT-HOONVED-ZEEP MARC,106h 37' 45'',+ 01h 29' 53'',1983,3809,23,383865,5393
PATRICK BONNET,WOLBER,106h 39' 45'',+ 01h 31' 53'',1983,3809,23,383985,5513
ALFIO VANDI,METAUROBILI-PINARELLO,106h 40' 51'',+ 01h 32' 59'',1983,3809,23,384051,5579
DOMINIQUE GARDE,PEUGEOT-SHELL-MICHELIN,106h 41' 42'',+ 01h 33' 50'',1983,3809,23,384102,5630
PHILIPPE LELEU,WOLBER,106h 42' 00'',+ 01h 34' 08'',1983,3809,23,384120,5648
FRITS PIRARD,METAUROBILI-PINARELLO,106h 47' 14'',+ 01h 39' 22'',1983,3809,23,384434,5962
RAYMOND MARTIN,COOP-MERCIER-MAVIC,106h 48' 17'',+ 01h 40' 25'',1983,3809,23,384497,6025
ABELARDO RIOS,VARTA,106h 48' 51'',+ 01h 40' 59'',1983,3809,23,384531,6059
CHRISTIAN JOURDAN,LA REDOUTE-MOTOBECANE,106h 50' 37'',+ 01h 42' 45'',1983,3809,23,384637,6165
CELESTINO PRIETO,REYNOLDS,106h 54' 00'',+ 01h 46' 08'',1983,3809,23,384840,6368
PHILIPPE CHEVALLIER,RENAULT-ELF-GITANE,106h 58' 02'',+ 01h 50' 10'',1983,3809,23,385082,6610
LUDWIG WIJNANTS,BOULE D'OR-COLNAGO-CAMPAGNOLO,106h 58' 04'',+ 01h 50' 12'',1983,3809,23,385084,6612
PAUL HAGHEDOOREN,SPLENDOR- EURO SHOP-MONDIAL MOQUETTE,106h 59' 09'',+ 01h 51' 17'',1983,3809,23,385149,6677
HUBERT LINARD,PEUGEOT-SHELL-MICHELIN,107h 01' 07'',+ 01h 53' 15'',1983,3809,23,385267,6795
ANASTASIO GRECIANO,REYNOLDS,107h 01' 24'',+ 01h 53' 32'',1983,3809,23,385284,6812
LUCIEN DIDIER,RENAULT-ELF-GITANE,107h 02' 37'',+ 01h 54' 45'',1983,3809,23,385357,6885
BERNARD BOURREAU,PEUGEOT-SHELL-MICHELIN,107h 02' 38'',+ 01h 54' 46'',1983,3809,23,385358,6886
JÉSUS HERNANDEZ-UBEDA,REYNOLDS,107h 06' 31'',+ 01h 58' 39'',1983,3809,23,385591,7119
CARLOS HERNANDEZ,REYNOLDS,107h 06' 38'',+ 01h 58' 46'',1983,3809,23,385598,7126
CHARLY BERARD,RENAULT-ELF-GITANE,107h 06' 57'',+ 01h 59' 05'',1983,3809,23,385617,7145
SAMUEL CABRERA,VARTA,107h 11' 40'',+ 02h 03' 48'',1983,3809,23,385900,7428
BERNARD VALLET,LA REDOUTE-MOTOBECANE,107h 11' 54'',+ 02h 04' 02'',1983,3809,23,385914,7442
GILBERT DUCLOS-LASSALLE,PEUGEOT-SHELL-MICHELIN,107h 13' 10'',+ 02h 05' 18'',1983,3809,23,385990,7518
CLAUDE MOREAU,COOP-MERCIER-MAVIC,107h 14' 02'',+ 02h 06' 10'',1983,3809,23,386042,7570
PASCAL JULES,RENAULT-ELF-GITANE,107h 14' 21'',+ 02h 06' 29'',1983,3809,23,386061,7589
JACQUES BOSSIS,PEUGEOT-SHELL-MICHELIN,107h 14' 42'',+ 02h 06' 50'',1983,3809,23,386082,7610
HENDRIK DEVOS,SPLENDOR- EURO SHOP-MONDIAL MOQUETTE,107h 15' 38'',+ 02h 07' 46'',1983,3809,23,386138,7666
ALFONSO LOPEZ,VARTA,107h 17' 34'',+ 02h 09' 42'',1983,3809,23,386254,7782
DOMINIQUE GAIGNE,RENAULT-ELF-GITANE,107h 17' 50'',+ 02h 09' 58'',1983,3809,23,386270,7798
JEAN-FRANÇOIS RODRIGUEZ,WOLBER,107h 18' 21'',+ 02h 10' 29'',1983,3809,23,386301,7829
RUDY ROGIERS,AERNOUDT-HOONVED-ZEEP MARC,107h 18' 30'',+ 02h 10' 38'',1983,3809,23,386310,7838
JAN WIJNANTS,BOULE D'OR-COLNAGO-CAMPAGNOLO,107h 18' 45'',+ 02h 10' 53'',1983,3809,23,386325,7853
GRAHAM JONES,WOLBER,107h 22' 55'',+ 02h 15' 03'',1983,3809,23,386575,8103
EUGÈNE URBANY,BOULE D'OR-COLNAGO-CAMPAGNOLO,107h 24' 35'',+ 02h 16' 43'',1983,3809,23,386675,8203
SERGE DEMIERRE,CILO-AUFINA,107h 27' 25'',+ 02h 19' 33'',1983,3809,23,386845,8373
JOHAN LAMMERTS,TI-RALEIGH-CAMPAGNOLO,107h 29' 07'',+ 02h 21' 15'',1983,3809,23,386947,8475
LUDO DE KEULENAER,TI-RALEIGH-CAMPAGNOLO,107h 30' 29'',+ 02h 22' 37'',1983,3809,23,387029,8557
ERIC DALL'ARMELINA,SEM-MAVIC-REYDEL,107h 33' 46'',+ 02h 25' 54'',1983,3809,23,387226,8754
ENRIQUE ALBERTO AJA CAGIGAS,REYNOLDS,107h 37' 41'',+ 02h 29' 49'',1983,3809,23,387461,8989
JEAN-LOUIS GAUTHIER,COOP-MERCIER-MAVIC,107h 40' 07'',+ 02h 32' 15'',1983,3809,23,387607,9135
GUY JANISZEWSKI,BOULE D'OR-COLNAGO-CAMPAGNOLO,107h 43' 11'',+ 02h 35' 19'',1983,3809,23,387791,9319
FRÉDERIC BRUN,PEUGEOT-SHELL-MICHELIN,107h 51' 52'',+ 02h 44' 00'',1983,3809,23,388312,9840
LAURENT BIONDI,LA REDOUTE-MOTOBECANE,107h 51' 56'',+ 02h 44' 04'',1983,3809,23,388316,9844
JAN VAN HOUWELINGEN,BOULE D'OR-COLNAGO-CAMPAGNOLO,107h 53' 39'',+ 02h 45' 47'',1983,3809,23,388419,9947
HENRI MANDERS,AERNOUDT-HOONVED-ZEEP MARC,108h 04' 38'',+ 02h 56' 46'',1983,3809,23,389078,10606
MARC DIERICKX,AERNOUDT-HOONVED-ZEEP MARC,108h 05' 08'',+ 02h 57' 16'',1983,3809,23,389108,10636
JULIUS THALMAN,CILO-AUFINA,108h 09' 00'',+ 03h 01' 08'',1983,3809,23,389340,10868
ERICH MAECHLER,CILO-AUFINA,108h 24' 23'',+ 03h 16' 31'',1983,3809,23,390263,11791
GILBERT GLAUS,CILO-AUFINA,108h 41' 48'',+ 03h 33' 56'',1983,3809,23,391308,12836
GUY GALLOPIN,LA REDOUTE-MOTOBECANE,108h 42' 49'',+ 03h 34' 57'',1983,3809,23,391369,12897
MARCEL RUSSENBERGER,CILO-AUFINA,108h 49' 59'',+ 03h 42' 07'',1983,3809,23,391799,13327
MARCEL LAURENS,AERNOUDT-HOONVED-ZEEP MARC,109h 10' 38'',+ 04h 02' 46'',1983,3809,23,393038,14566
LAURENT FIGNON,RENAULT-ELF,112h 03' 40'',-,1984,4021,24,403420,0
BERNARD HINAULT,LA VIE CLAIRE-TERRAILLON,112h 14' 12'',+ 00h 10' 32'',1984,4021,24,404052,632
GREG LEMOND,RENAULT-ELF,112h 15' 26'',+ 00h 11' 46'',1984,4021,24,404126,706
ROBERT MILLAR,PEUGEOT-SHELL-MICHELIN,112h 18' 22'',+ 00h 14' 42'',1984,4021,24,404302,882
SEAN KELLY,SKIL-REYDEL-SEM,112h 20' 15'',+ 00h 16' 35'',1984,4021,24,404415,995
ANGEL ARROYO,REYNOLDS-PAPEL ALUMINIO,112h 23' 02'',+ 00h 19' 22'',1984,4021,24,404582,1162
PASCAL SIMON,PEUGEOT-SHELL-MICHELIN,112h 24' 57'',+ 00h 21' 17'',1984,4021,24,404697,1277
PEDRO MUNOZ,TEKA,112h 29' 57'',+ 00h 26' 17'',1984,4021,24,404997,1577
CLAUDE CRIQUIELION,SPLENDOR-MONDIAL MOQUETTE,112h 32' 52'',+ 00h 29' 12'',1984,4021,24,405172,1752
PHIL ANDERSON,PANASONIC-RALEIGH,112h 32' 56'',+ 00h 29' 16'',1984,4021,24,405176,1756
NIKI RUTTIMAN,LA VIE CLAIRE-TERRAILLON,112h 34' 38'',+ 00h 30' 58'',1984,4021,24,405278,1858
RAFAËL ACEVEDO PORRAS,VARTA,112h 37' 12'',+ 00h 33' 32'',1984,4021,24,405432,2012
JEAN-MARY GREZET,SKIL-REYDEL-SEM,112h 37' 21'',+ 00h 33' 41'',1984,4021,24,405441,2021
ERIC CARITOUX,SKIL-REYDEL-SEM,112h 40' 08'',+ 00h 36' 28'',1984,4021,24,405608,2188
PATROCINIO JIMENEZ,TEKA,112h 41' 29'',+ 00h 37' 49'',1984,4021,24,405689,2269
GÉRARD VELDSCHOLTEN,PANASONIC-RALEIGH,112h 45' 34'',+ 00h 41' 54'',1984,4021,24,405934,2514
MICHEL LAURENT,COOP-HOONVED-ROSSIN,112h 48' 13'',+ 00h 44' 33'',1984,4021,24,406093,2673
ISRAËL CORREDOR,VARTA,112h 49' 13'',+ 00h 45' 33'',1984,4021,24,406153,2733
JOSÉ ANTONIO AGUDELO GOMEZ,VARTA,112h 53' 05'',+ 00h 49' 25'',1984,4021,24,406385,2965
BERNARD GAVILLET,CILO-AUFINA,112h 54' 42'',+ 00h 51' 02'',1984,4021,24,406482,3062
PASCAL JULES,RENAULT-ELF,112h 55' 33'',+ 00h 51' 53'',1984,4021,24,406533,3113
LUCIANO LORO,CARRERA-INOXPRAN,112h 56' 17'',+ 00h 52' 37'',1984,4021,24,406577,3157
FRÉDÉRIC VICHOT,SKIL-REYDEL-SEM,112h 56' 58'',+ 00h 53' 18'',1984,4021,24,406618,3198
GUY NULENS,PANASONIC-RALEIGH,112h 57' 05'',+ 00h 53' 25'',1984,4021,24,406625,3205
STEPHEN ROCHE,LA REDOUTE,113h 00' 16'',+ 00h 56' 36'',1984,4021,24,406816,3396
PETER WINNEN,PANASONIC-RALEIGH,113h 01' 54'',+ 00h 58' 14'',1984,4021,24,406914,3494
LUIS ''LUCHO'' HERRERA,VARTA,113h 02' 10'',+ 00h 58' 30'',1984,4021,24,406930,3510
VINCENT BARTEAU,RENAULT-ELF,113h 03' 42'',+ 01h 00' 02'',1984,4021,24,407022,3602
GILLES MAS,SKIL-REYDEL-SEM,113h 09' 18'',+ 01h 05' 38'',1984,4021,24,407358,3938
JOOP ZOETEMELK,KWANTUM HALLEN-DECOSOL,113h 09' 42'',+ 01h 06' 02'',1984,4021,24,407382,3962
JONATHAN BOYER,SKIL-REYDEL-SEM,113h 10' 43'',+ 01h 07' 03'',1984,4021,24,407443,4023
SAMUEL CABRERA,VARTA,113h 10' 57'',+ 01h 07' 17'',1984,4021,24,407457,4037
DOMINIQUE GARDE,PEUGEOT-SHELL-MICHELIN,113h 13' 38'',+ 01h 09' 58'',1984,4021,24,407618,4198
CELESTINO PRIETO,REYNOLDS-PAPEL ALUMINIO,113h 14' 03'',+ 01h 10' 23'',1984,4021,24,407643,4223
MARC MADIOT,RENAULT-ELF,113h 16' 43'',+ 01h 13' 03'',1984,4021,24,407803,4383
JÉRÔME SIMON,LA REDOUTE,113h 20' 13'',+ 01h 16' 33'',1984,4021,24,408013,4593
MARC DURANT,SYSTEME U,113h 21' 02'',+ 01h 17' 22'',1984,4021,24,408062,4642
ROBERT ALBAN,LA REDOUTE,113h 21' 43'',+ 01h 18' 03'',1984,4021,24,408103,4683
FEDERICO ECHAVE,TEKA,113h 26' 39'',+ 01h 22' 59'',1984,4021,24,408399,4979
HENK LUBBERDING,PANASONIC-RALEIGH,113h 27' 32'',+ 01h 23' 52'',1984,4021,24,408452,5032
JOSÉ-LUIS LAGUIA,REYNOLDS-PAPEL ALUMINIO,113h 27' 42'',+ 01h 24' 02'',1984,4021,24,408462,5042
JEAN-PHILIPPE VANDENBRANDE,SPLENDOR-MONDIAL MOQUETTE,113h 27' 53'',+ 01h 24' 13'',1984,4021,24,408473,5053
BEAT BREU,CILO-AUFINA,113h 29' 01'',+ 01h 25' 21'',1984,4021,24,408541,5121
PIERRE LE BIGAULT,COOP-HOONVED-ROSSIN,113h 30' 31'',+ 01h 26' 51'',1984,4021,24,408631,5211
FRANCISCO RODRIGUEZ,SPLENDOR-MONDIAL MOQUETTE,113h 32' 15'',+ 01h 28' 35'',1984,4021,24,408735,5315
YVON MADIOT,RENAULT-ELF,113h 33' 19'',+ 01h 29' 39'',1984,4021,24,408799,5379
ALAIN VIGNERON,LA VIE CLAIRE-TERRAILLON,113h 33' 29'',+ 01h 29' 49'',1984,4021,24,408809,5389
MARC SERGEANT,BOULE D'OR-EUROP DECOR-EDDY MERCKX,113h 34' 53'',+ 01h 31' 13'',1984,4021,24,408893,5473
CHRISTIAN JOURDAN,LA VIE CLAIRE-TERRAILLON,113h 36' 55'',+ 01h 33' 15'',1984,4021,24,409015,5595
KIM ANDERSEN,COOP-HOONVED-ROSSIN,113h 37' 03'',+ 01h 33' 23'',1984,4021,24,409023,5603
GONZALO AJA,REYNOLDS-PAPEL ALUMINIO,113h 37' 33'',+ 01h 33' 53'',1984,4021,24,409053,5633
JULIAN GOROSPE,REYNOLDS-PAPEL ALUMINIO,113h 41' 03'',+ 01h 37' 23'',1984,4021,24,409263,5843
CARLOS HERNANDEZ,REYNOLDS-PAPEL ALUMINIO,113h 41' 10'',+ 01h 37' 30'',1984,4021,24,409270,5850
DOMINIQUE ARNAUD,LA VIE CLAIRE-TERRAILLON,113h 41' 30'',+ 01h 37' 50'',1984,4021,24,409290,5870
PIERRE-HENRI MENTHEOUR,RENAULT-ELF,113h 42' 31'',+ 01h 38' 51'',1984,4021,24,409351,5931
HENNIE KUIPER,KWANTUM HALLEN-DECOSOL,113h 43' 10'',+ 01h 39' 30'',1984,4021,24,409390,5970
URS ZIMMERMANN,CILO-AUFINA,113h 44' 19'',+ 01h 40' 39'',1984,4021,24,409459,6039
THÉO DE ROOY,PANASONIC-RALEIGH,113h 46' 00'',+ 01h 42' 20'',1984,4021,24,409560,6140
HERMAN LOAIZA,VARTA,113h 47' 35'',+ 01h 43' 55'',1984,4021,24,409655,6235
ANTONIO FERRETTI,CILO-AUFINA,113h 51' 04'',+ 01h 47' 24'',1984,4021,24,409864,6444
MAURICE LE GUILLOUX,LA VIE CLAIRE-TERRAILLON,113h 52' 18'',+ 01h 48' 38'',1984,4021,24,409938,6518
GUY GALLOPIN,SKIL-REYDEL-SEM,113h 52' 47'',+ 01h 49' 07'',1984,4021,24,409967,6547
RAIMUND DIETZEN,TEKA,113h 53' 11'',+ 01h 49' 31'',1984,4021,24,409991,6571
ALFONSO LOPEZ,VARTA,113h 53' 39'',+ 01h 49' 59'',1984,4021,24,410019,6599
ANTONIO COLL PONTANILLA,TEKA,113h 55' 44'',+ 01h 52' 04'',1984,4021,24,410144,6724
ANDRÉ CHAPPUIS,SYSTEME U,113h 55' 44'',+ 01h 52' 04'',1984,4021,24,410144,6724
RENÉ MARTENS,TEKA,113h 56' 05'',+ 01h 52' 25'',1984,4021,24,410165,6745
YVAN FREBERT,SYSTEME U,113h 57' 38'',+ 01h 53' 58'',1984,4021,24,410258,6838
GLAUCO SANTONI,CARRERA-INOXPRAN,113h 58' 08'',+ 01h 54' 28'',1984,4021,24,410288,6868
JÉSUS HERNANDEZ-UBEDA,REYNOLDS-PAPEL ALUMINIO,113h 58' 57'',+ 01h 55' 17'',1984,4021,24,410337,6917
LUCIEN DIDIER,RENAULT-ELF,114h 00' 19'',+ 01h 56' 39'',1984,4021,24,410419,6999
BERNARD VALLET,LA VIE CLAIRE-TERRAILLON,114h 02' 03'',+ 01h 58' 23'',1984,4021,24,410523,7103
FONS DE WOLF,BOULE D'OR-EUROP DECOR-EDDY MERCKX,114h 02' 18'',+ 01h 58' 38'',1984,4021,24,410538,7118
LÉO VAN VLIET,KWANTUM HALLEN-DECOSOL,114h 02' 32'',+ 01h 58' 52'',1984,4021,24,410552,7132
BRUNO LEALI,CARRERA-INOXPRAN,114h 07' 20'',+ 02h 03' 40'',1984,4021,24,410840,7420
MARCO ANTONIO CHAGAS MARTINS,SPORTING LISBONNE-RAPOSEIRA,114h 11' 53'',+ 02h 08' 13'',1984,4021,24,411113,7693
PATRICK CLERC,SKIL-REYDEL-SEM,114h 15' 09'',+ 02h 11' 29'',1984,4021,24,411309,7889
PASCAL POISSON,RENAULT-ELF,114h 15' 17'',+ 02h 11' 37'',1984,4021,24,411317,7897
GIANCARLO PERINI,CARRERA-INOXPRAN,114h 15' 48'',+ 02h 12' 08'',1984,4021,24,411348,7928
JEAN-FRANÇOIS RAULT,LA VIE CLAIRE-TERRAILLON,114h 15' 57'',+ 02h 12' 17'',1984,4021,24,411357,7937
ALAIN DITHURBIDE,SPORTING LISBONNE-RAPOSEIRA,114h 16' 42'',+ 02h 13' 02'',1984,4021,24,411402,7982
ERICH MAECHLER,CILO-AUFINA,114h 19' 03'',+ 02h 15' 23'',1984,4021,24,411543,8123
PATRICK BONNET,SYSTEME U,114h 20' 58'',+ 02h 17' 18'',1984,4021,24,411658,8238
BERNARD BOURREAU,PEUGEOT-SHELL-MICHELIN,114h 24' 09'',+ 02h 20' 29'',1984,4021,24,411849,8429
ANASTASIO GRECIANO,REYNOLDS-PAPEL ALUMINIO,114h 24' 31'',+ 02h 20' 51'',1984,4021,24,411871,8451
HENDRIK DEVOS,SPLENDOR-MONDIAL MOQUETTE,114h 27' 35'',+ 02h 23' 55'',1984,4021,24,412055,8635
FRÉDERIC BRUN,PEUGEOT-SHELL-MICHELIN,114h 28' 48'',+ 02h 25' 08'',1984,4021,24,412128,8708
ERIC VANDERAERDEN,PANASONIC-RALEIGH,114h 29' 54'',+ 02h 26' 14'',1984,4021,24,412194,8774
SEAN YATES,PEUGEOT-SHELL-MICHELIN,114h 30' 21'',+ 02h 26' 41'',1984,4021,24,412221,8801
LUDO DE KEULENAER,PANASONIC-RALEIGH,114h 32' 29'',+ 02h 28' 49'',1984,4021,24,412349,8929
CZESLAW LANG,CARRERA-INOXPRAN,114h 33' 01'',+ 02h 29' 21'',1984,4021,24,412381,8961
MANUEL ZEFERINO,SPORTING LISBONNE-RAPOSEIRA,114h 33' 06'',+ 02h 29' 26'',1984,4021,24,412386,8966
ALAN PEIPER,PEUGEOT-SHELL-MICHELIN,114h 35' 08'',+ 02h 31' 28'',1984,4021,24,412508,9088
PATRICK MOERLEN,SKIL-REYDEL-SEM,114h 35' 13'',+ 02h 31' 33'',1984,4021,24,412513,9093
JEAN-LOUIS GAUTHIER,COOP-HOONVED-ROSSIN,114h 37' 50'',+ 02h 34' 10'',1984,4021,24,412670,9250
BERNARDO ALFONSEL,TEKA,114h 39' 05'',+ 02h 35' 25'',1984,4021,24,412745,9325
ALAIN BONDUE,LA REDOUTE,114h 40' 25'',+ 02h 36' 45'',1984,4021,24,412825,9405
FRANK HOSTE,BOULE D'OR-EUROP DECOR-EDDY MERCKX,114h 41' 48'',+ 02h 38' 08'',1984,4021,24,412908,9488
JACQUES HANEGRAAF,KWANTUM HALLEN-DECOSOL,114h 47' 44'',+ 02h 44' 04'',1984,4021,24,413264,9844
JACQUES BOSSIS,PEUGEOT-SHELL-MICHELIN,114h 48' 06'',+ 02h 44' 26'',1984,4021,24,413286,9866
GERRIE KNETEMANN,BOULE D'OR-EUROP DECOR-EDDY MERCKX,114h 51' 38'',+ 02h 47' 58'',1984,4021,24,413498,10078
MARC DIERICKX,BOULE D'OR-EUROP DECOR-EDDY MERCKX,114h 53' 00'',+ 02h 49' 20'',1984,4021,24,413580,10160
FRANCIS CASTAING,PEUGEOT-SHELL-MICHELIN,114h 55' 39'',+ 02h 51' 59'',1984,4021,24,413739,10319
FERDI VAN DEN HAUTE,LA REDOUTE,114h 56' 28'',+ 02h 52' 48'',1984,4021,24,413788,10368
HENRI MANDERS,KWANTUM HALLEN-DECOSOL,115h 02' 41'',+ 02h 59' 01'',1984,4021,24,414161,10741
AD WIJNANDS,KWANTUM HALLEN-DECOSOL,115h 04' 44'',+ 03h 01' 04'',1984,4021,24,414284,10864
LUC GOVAERTS,BOULE D'OR-EUROP DECOR-EDDY MERCKX,115h 05' 19'',+ 03h 01' 39'',1984,4021,24,414319,10899
CHRISTIAN LEVAVASSEUR,LA REDOUTE,115h 06' 44'',+ 03h 03' 04'',1984,4021,24,414404,10984
RÉGIS SIMON,LA REDOUTE,115h 08' 05'',+ 03h 04' 25'',1984,4021,24,414485,11065
HUBERT LINARD,PEUGEOT-SHELL-MICHELIN,115h 10' 04'',+ 03h 06' 24'',1984,4021,24,414604,11184
VALERIO LUALDI,CARRERA-INOXPRAN,115h 10' 30'',+ 03h 06' 50'',1984,4021,24,414630,11210
CLAUDE MOREAU,COOP-HOONVED-ROSSIN,115h 11' 14'',+ 03h 07' 34'',1984,4021,24,414674,11254
PATRICE THEVENARD,SPORTING LISBONNE-RAPOSEIRA,115h 12' 56'',+ 03h 09' 16'',1984,4021,24,414776,11356
PAUL SHERWEN,LA REDOUTE,115h 28' 28'',+ 03h 24' 48'',1984,4021,24,415708,12288
MICHEL CHARREARD,SPORTING LISBONNE-RAPOSEIRA,115h 28' 58'',+ 03h 25' 18'',1984,4021,24,415738,12318
EDUARDO MANUEL CORREIA,SPORTING LISBONNE-RAPOSEIRA,115h 29' 17'',+ 03h 25' 37'',1984,4021,24,415757,12337
JOSÉ XAVIER,SPORTING LISBONNE-RAPOSEIRA,115h 31' 06'',+ 03h 27' 26'',1984,4021,24,415866,12446
MODESTO URRUTIBEASCOA,TEKA,115h 33' 51'',+ 03h 30' 11'',1984,4021,24,416031,12611
DOMINIQUE GAIGNE,RENAULT-ELF,115h 39' 19'',+ 03h 35' 39'',1984,4021,24,416359,12939
CARLOS MARTA,SPORTING LISBONNE-RAPOSEIRA,115h 43' 45'',+ 03h 40' 05'',1984,4021,24,416625,13205
MARCEL RUSSENBERGER,CILO-AUFINA,116h 04' 10'',+ 04h 00' 30'',1984,4021,24,417850,14430
GILBERT GLAUS,CILO-AUFINA,116h 04' 57'',+ 04h 01' 17'',1984,4021,24,417897,14477
BERNARD HINAULT,LA VIE CLAIRE-WONDER-RADAR,113h 24' 23'',-,1985,4109,24,408263,0
GREG LEMOND,LA VIE CLAIRE-WONDER-RADAR,113h 26' 05'',+ 00h 01' 42'',1985,4109,24,408365,102
STEPHEN ROCHE,LA REDOUTE,113h 28' 52'',+ 00h 04' 29'',1985,4109,24,408532,269
SEAN KELLY,SKIL-SEM-KAS-MIKO,113h 30' 49'',+ 00h 06' 26'',1985,4109,24,408649,386
PHIL ANDERSON,PANASONIC-RALEIGH,113h 32' 07'',+ 00h 07' 44'',1985,4109,24,408727,464
PEDRO DELGADO,SEAT-ORBEA,113h 36' 16'',+ 00h 11' 53'',1985,4109,24,408976,713
LUIS ''LUCHO'' HERRERA,CAFÉ DE COLOMBIA-VARTA-MAVIC,113h 37' 16'',+ 00h 12' 53'',1985,4109,24,409036,773
FABIO PARRA,CAFÉ DE COLOMBIA-VARTA-MAVIC,113h 37' 58'',+ 00h 13' 35'',1985,4109,24,409078,815
EDUARDO CHOZAS OLMO,REYNOLDS-TS BATTERIES,113h 38' 19'',+ 00h 13' 56'',1985,4109,24,409099,836
KIM ANDERSEN,LA VIE CLAIRE-WONDER-RADAR,113h 39' 20'',+ 00h 14' 57'',1985,4109,24,409160,897
ROBERT MILLAR,PEUGEOT-SHELL-MICHELIN,113h 39' 33'',+ 00h 15' 10'',1985,4109,24,409173,910
JOOP ZOETEMELK,KWANTUM HALLEN-DECOSOL,113h 39' 47'',+ 00h 15' 24'',1985,4109,24,409187,924
NIKI RUTTIMAN,LA VIE CLAIRE-WONDER-RADAR,113h 40' 25'',+ 00h 16' 02'',1985,4109,24,409225,962
EDDY SCHEPERS,LOTTO-EDDY MERCKX-CAMPAGNOLO,113h 40' 36'',+ 00h 16' 13'',1985,4109,24,409236,973
PETER WINNEN,PANASONIC-RALEIGH,113h 41' 58'',+ 00h 17' 35'',1985,4109,24,409318,1055
ROBERT FOREST,PEUGEOT-SHELL-MICHELIN,113h 42' 08'',+ 00h 17' 45'',1985,4109,24,409328,1065
CELESTINO PRIETO,REYNOLDS-TS BATTERIES,113h 44' 11'',+ 00h 19' 48'',1985,4109,24,409451,1188
CLAUDE CRIQUIELION,HITACHI-SUNAIR-SPLENDOR,113h 45' 35'',+ 00h 21' 12'',1985,4109,24,409535,1272
ALVARO PINO,ZOR,113h 45' 58'',+ 00h 21' 35'',1985,4109,24,409558,1295
PASCAL SIMON,PEUGEOT-SHELL-MICHELIN,113h 47' 53'',+ 00h 23' 30'',1985,4109,24,409673,1410
PIERRE BAZZO,FAGOR,113h 47' 59'',+ 00h 23' 36'',1985,4109,24,409679,1416
DOMINIQUE ARNAUD,LA VIE CLAIRE-WONDER-RADAR,113h 50' 51'',+ 00h 26' 28'',1985,4109,24,409851,1588
BEAT BREU,CARRERA JEANS-INOXPRAN,113h 54' 05'',+ 00h 29' 42'',1985,4109,24,410045,1782
JÉRÔME SIMON,LA REDOUTE,113h 57' 15'',+ 00h 32' 52'',1985,4109,24,410235,1972
STEVEN ROOKS,PANASONIC-RALEIGH,113h 57' 44'',+ 00h 33' 21'',1985,4109,24,410264,2001
YVON MADIOT,RENAULT-ELF,113h 58' 21'',+ 00h 33' 58'',1985,4109,24,410301,2038
LUCIEN VAN IMPE,SANTINI-SELLE ITALIA-CONTI-GALLI,113h 58' 39'',+ 00h 34' 16'',1985,4109,24,410319,2056
GÉRARD VELDSCHOLTEN,PANASONIC-RALEIGH,114h 00' 07'',+ 00h 35' 44'',1985,4109,24,410407,2144
THIERRY CLAVEYROLAT,LA REDOUTE,114h 03' 39'',+ 00h 39' 16'',1985,4109,24,410619,2356
JÉSUS RODRIGUEZ-MAGRO,ZOR,114h 04' 01'',+ 00h 39' 38'',1985,4109,24,410641,2378
FRÉDÉRIC VICHOT,SKIL-SEM-KAS-MIKO,114h 04' 25'',+ 00h 40' 02'',1985,4109,24,410665,2402
PAUL WELLENS,Tönissteiner - TW Rock - BASF - Humo,114h 04' 43'',+ 00h 40' 20'',1985,4109,24,410683,2420
PAUL HAGHEDOOREN,LOTTO-EDDY MERCKX-CAMPAGNOLO,114h 05' 00'',+ 00h 40' 37'',1985,4109,24,410700,2437
ERIC CARITOUX,SKIL-SEM-KAS-MIKO,114h 06' 16'',+ 00h 41' 53'',1985,4109,24,410776,2513
DOMINIQUE GARDE,SKIL-SEM-KAS-MIKO,114h 06' 49'',+ 00h 42' 26'',1985,4109,24,410809,2546
CHARLY MOTTET,RENAULT-ELF,114h 07' 20'',+ 00h 42' 57'',1985,4109,24,410840,2577
GILLES MAS,SKIL-SEM-KAS-MIKO,114h 09' 33'',+ 00h 45' 10'',1985,4109,24,410973,2710
INAKI GASTON,REYNOLDS-TS BATTERIES,114h 10' 16'',+ 00h 45' 53'',1985,4109,24,411016,2753
FAUSTINO RUPEREZ,ZOR,114h 10' 35'',+ 00h 46' 12'',1985,4109,24,411035,2772
JEAN-PHILIPPE VANDENBRANDE,HITACHI-SUNAIR-SPLENDOR,114h 12' 59'',+ 00h 48' 36'',1985,4109,24,411179,2916
REYNEL MONTOYA,CAFÉ DE COLOMBIA-VARTA-MAVIC,114h 13' 09'',+ 00h 48' 46'',1985,4109,24,411189,2926
