index Year TotalTDFDistance Stages Start End "Winner of stage" Leader "Yellow Jersey" "Polka-dot jersey" "Green jersey" "White jersey"
233 1924 5425 3 Cherbourg-en-Cotentin Brest "Théophile Beeckman  (Premiere Classe)" NA "Ottavio Bottecchia" NA NA NA
234 1924 5425 4 Brest "Les Sables" "Félix Goethals  (Premiere Classe)" NA "Ottavio Bottecchia" NA NA NA
235 1924 5425 5 "Les Sables" Bayonne "Omer Huyse  (Deuxieme Classe)" NA "Ottavio Bottecchia" NA NA NA
236 1924 5425 6 Bayonne Luchon "Ottavio Bottecchia  (Premiere Classe)" NA "Ottavio Bottecchia" NA NA NA
237 1924 5425 7 Luchon Perpignan "Ottavio Bottecchia  (Premiere Classe)" NA "Ottavio Bottecchia" NA NA NA
238 1924 5425 8 Perpignan Toulon "Louis Mottiat  (Premiere Classe)" NA "Ottavio Bottecchia" NA NA NA
239 1924 5425 9 Toulon Nice "Philippe Thys  (Premiere Classe)" NA "Ottavio Bottecchia" NA NA NA
240 1924 5425 10 Nice Briançon "Giovanni Brunero  (Premiere Classe)" NA "Ottavio Bottecchia" NA NA NA
241 1924 5425 11 Briançon Gex "Nicolas Frantz  (Premiere Classe)" NA "Ottavio Bottecchia" NA NA NA
242 1924 5425 12 Gex Strasbourg "Nicolas Frantz  (Premiere Classe)" NA "Ottavio Bottecchia" NA NA NA
243 1924 5425 13 Strasbourg Metz "Arsène Alancourt  (Premiere Classe)" NA "Ottavio Bottecchia" NA NA NA
244 1924 5425 14 Metz Dunkerque "Romain Bellenger  (Premiere Classe)" NA "Ottavio Bottecchia" NA NA NA
245 1924 5425 15 Dunkerque Paris "Ottavio Bottecchia  (Premiere Classe)" NA "Ottavio Bottecchia" NA NA NA
246 1925 5440 1 Paris "Le Havre" "Ottavio Bottecchia  (Automoto-Hutchinson)" NA "Ottavio Bottecchia" NA NA NA
247 1925 5440 2 "Le Havre" Cherbourg-en-Cotentin "Romain Bellenger  (Alcyon-Dunlop)" NA "Ottavio Bottecchia" NA NA NA
248 1925 5440 3 Cherbourg-en-Cotentin Brest "Louis Mottiat  (Alcyon-Dunlop)" NA "Adelin Benoit" NA NA NA
249 1925 5440 4 Brest Vannes "Nicolas Frantz  (Alcyon-Dunlop)" NA "Adelin Benoit" NA NA NA
250 1925 5440 5 Vannes "Les Sables" "Nicolas Frantz  (Alcyon-Dunlop)" NA "Adelin Benoit" NA NA NA
251 1925 5440 6 "Les Sables" Bordeaux "Ottavio Bottecchia  (Automoto-Hutchinson)" NA "Adelin Benoit" NA NA NA
252 1925 5440 7 Bordeaux Bayonne "Ottavio Bottecchia  (Automoto-Hutchinson)" NA "Adelin Benoit" NA NA NA
253 1925 5440 8 Bayonne Luchon "Adelin Benoit  (Thomann-Dunlop)" NA "Adelin Benoit" NA NA NA
254 1925 5440 9 Luchon Perpignan "Nicolas Frantz  (Alcyon-Dunlop)" NA "Ottavio Bottecchia" NA NA NA
255 1925 5440 10 Perpignan Nîmes "Théophile Beeckman  (Thomann-Dunlop)" NA "Ottavio Bottecchia" NA NA NA
256 1925 5440 11 Nîmes Toulon "Lucien Buysse  (Automoto-Hutchinson)" NA "Ottavio Bottecchia" NA NA NA
257 1925 5440 12 Toulon Nice "Lucien Buysse  (Automoto-Hutchinson)" NA "Ottavio Bottecchia" NA NA NA
258 1925 5440 13 Nice Briançon "Bartolomeo Aimo  (Alcyon-Dunlop)" NA "Ottavio Bottecchia" NA NA NA
259 1925 5440 14 Briançon Evian-les-Bains "Hector Martin  (J.B.Louvet-Pouchois)" NA "Ottavio Bottecchia" NA NA NA
260 1925 5440 15 Evian-les-Bains Mulhouse "Nicolas Frantz  (Alcyon-Dunlop)" NA "Ottavio Bottecchia" NA NA NA
261 1925 5440 16 Mulhouse Metz "Hector Martin  (J.B.Louvet-Pouchois)" NA "Ottavio Bottecchia" NA NA NA
262 1925 5440 17 Metz Dunkerque "Hector Martin  (J.B.Louvet-Pouchois)" NA "Ottavio Bottecchia" NA NA NA
263 1925 5440 18 Dunkerque Paris "Ottavio Bottecchia  (Automoto-Hutchinson)" NA "Ottavio Bottecchia" NA NA NA
264 1926 5745 1 Evian-les-Bains Mulhouse "Jules Buysse  (Automoto-Hutchinson)" NA "Jules Buysse" NA NA NA
265 1926 5745 2 Mulhouse Metz "Aimé Dossche  (Christophe-Hutchinson)" NA "Jules Buysse" NA NA NA
266 1926 5745 3 Metz Dunkerque "Gustaaf Van Slembrouck  (J.B.Louvet-Wolber)" NA "Gustaaf Van Slembrouck" NA NA NA
267 1926 5745 4 Dunkerque "Le Havre" "Félix Sellier  (Alcyon-Dunlop)" NA "Gustaaf Van Slembrouck" NA NA NA
268 1926 5745 5 "Le Havre" Cherbourg-en-Cotentin "Adelin Benoit  (Alcyon-Dunlop)" NA "Gustaaf Van Slembrouck" NA NA NA
269 1926 5745 6 Cherbourg-en-Cotentin Brest "Joseph Van Dam  (Automoto-Hutchinson)" NA "Gustaaf Van Slembrouck" NA NA NA
270 1926 5745 7 Brest "Les Sables" "Nicolas Frantz  (Alcyon-Dunlop)" NA "Gustaaf Van Slembrouck" NA NA NA
271 1926 5745 8 "Les Sables" Bordeaux "Joseph Van Dam  (Automoto-Hutchinson)" NA "Gustaaf Van Slembrouck" NA NA NA
272 1926 5745 9 Bordeaux Bayonne "Nicolas Frantz  (Alcyon-Dunlop)" NA "Gustaaf Van Slembrouck" NA NA NA
273 1926 5745 10 Bayonne Luchon "Lucien Buysse  (Automoto-Hutchinson)" NA "Lucien Buysse" NA NA NA
274 1926 5745 11 Luchon Perpignan "Lucien Buysse  (Automoto-Hutchinson)" NA "Lucien Buysse" NA NA NA
275 1926 5745 12 Perpignan Toulon "Nicolas Frantz  (Alcyon-Dunlop)" NA "Lucien Buysse" NA NA NA
276 1926 5745 13 Toulon Nice "Nicolas Frantz  (Alcyon-Dunlop)" NA "Lucien Buysse" NA NA NA
277 1926 5745 14 Nice Briançon "Bartolomeo Aimo  (Alcyon-Dunlop)" NA "Lucien Buysse" NA NA NA
278 1926 5745 15 Briançon Evian-les-Bains "Joseph Van Dam  (Automoto-Hutchinson)" NA "Lucien Buysse" NA NA NA
279 1926 5745 16 Evian-les-Bains Dijon "Camille Van De Casteele  (J.B.Louvet-Wolber)" NA "Lucien Buysse" NA NA NA
280 1926 5745 17 Dijon Paris "Aimé Dossche  (Christophe-Hutchinson)" NA "Lucien Buysse" NA NA NA
281 1927 5398 1 Paris Dieppe "Francis Pelissier  (Dilecta-Wolber)" NA "Francis Pelissier" NA NA NA
282 1927 5398 2 Dieppe "Le Havre" "Maurice De Waele  (Labor-Dunlop)" NA "Francis Pelissier" NA NA NA
283 1927 5398 3 "Le Havre" Caen "Hector Martin  (J.B.Louvet)" NA "Francis Pelissier" NA NA NA
284 1927 5398 4 Caen Cherbourg-en-Cotentin "Camille Van De Casteele  (J.B.Louvet)" NA "Francis Pelissier" NA NA NA
285 1927 5398 5 Cherbourg-en-Cotentin Dinan "Ferdinand Le Drogo  (Dilecta-Wolber)" NA "Francis Pelissier" NA NA NA
286 1927 5398 6 Dinan Brest "André Leducq  (Thomann-Dunlop)" NA "Ferdinand Le Drogo" NA NA NA
